Date,Close_bbva,Close_bankinter,Close_sabadell,Close_santander,Close_ibex
2011-10-27,6.864,1.399591,1.622136,6.067353,9270.5
2011-10-28,6.926,1.407308,1.629987,6.056042,9224.400391
2011-10-31,6.562,1.373356,1.576237,5.822283,8954.900391
2011-11-01,6.3,1.308546,1.517053,5.545166,8579.599609
2011-11-02,6.165,1.288797,1.509202,5.470703,8574.5
2011-11-03,6.299,1.314101,1.512826,5.536683,8712.599609
2011-11-04,6.125,1.303301,1.504371,5.489554,8596.400391
2011-11-07,6.069,1.303917,1.492896,5.355709,8476.400391
2011-11-08,6.08,1.300213,1.492896,5.382101,8518.5
2011-11-09,5.92,1.249911,1.460888,5.252968,8340.599609
2011-11-10,5.891,1.239107,1.450018,5.254853,8310.900391
2011-11-11,6.172,1.311634,1.475986,5.473531,8556.099609
2011-11-14,5.972,1.281391,1.452433,5.325546,8372.200195
2011-11-15,5.8,1.256082,1.42888,5.191701,8237.599609
2011-11-16,5.903,1.266882,1.42888,5.284073,8304.099609
2011-11-17,5.89,1.262253,1.437335,5.208667,8270.599609
2011-11-18,5.922,1.265341,1.437335,5.252026,8310.099609
2011-11-21,5.716,1.239727,1.406535,5.071051,8021.0
2011-11-22,5.608,1.202072,1.376943,4.93532,7904.899902
2011-11-23,5.497,1.18973,1.361241,4.835408,7739.299805
2011-11-24,5.522,1.170287,1.357617,4.855202,7721.799805
2011-11-25,5.603,1.172139,1.355806,4.921182,7763.5
2011-11-28,5.95,1.220899,1.377547,5.18039,8119.899902
2011-11-29,5.928,1.229542,1.376339,5.172849,8128.0
2011-11-30,6.274,1.288177,1.503767,5.277475,8449.5
2011-12-01,6.22,1.294042,1.509806,5.236944,8421.0
2011-12-02,6.452,1.327063,1.541814,5.451851,8558.599609
2011-12-05,6.629,1.348668,1.611265,5.589467,8705.799805
2011-12-06,6.71,1.352987,1.637234,5.629998,8712.799805
2011-12-07,6.576,1.33941,1.654747,5.612089,8644.299805
2011-12-08,6.37,1.299287,1.725406,5.499923,8461.200195
2011-12-09,6.52,1.336322,1.75681,5.628113,8649.700195
2011-12-12,6.264,1.299908,1.761038,5.390584,8381.0
2011-12-13,6.12,1.305463,1.765265,5.311408,8327.799805
2011-12-14,6.014,1.283548,1.747751,5.185103,8182.0
2011-12-15,6.158,1.308546,1.781571,5.264279,8250.400391
2011-12-16,6.15,1.340025,1.843171,5.278418,8203.400391
